order_id,customer_id,product_id,order_date,product_name,product_category,quantity,unit_price,total_price
1001,CUST0115,PROD009,2023-11-24,Laptop,Electronics,2,1164.02,2328.04
1002,CUST0016,PROD006,2023-02-22,Yoga Mat,Sports,1,153.77,153.77
1003,CUST0102,PROD046,2023-04-22,Sneakers,Clothing,5,128.36,641.8
1004,CUST0143,PROD001,2023-11-29,Cycling Helmet,Sports,5,66.8,334.0
1005,CUST0173,PROD007,2023-03-23,Textbook,Books,2,29.45,58.9
1006,CUST0136,PROD003,2023-02-17,Fiction Novel,Books,3,35.13,105.39
1007,CUST0041,PROD036,2023-08-24,Yoga Mat,Sports,4,243.68,974.72
1008,CUST0024,PROD043,2023-05-31,Running Shoes,Sports,1,150.68,150.68
1009,CUST0195,PROD018,2023-04-27,Blender,Home & Kitchen,1,260.94,260.94
1010,CUST0137,PROD045,2023-08-21,Coffee Maker,Home & Kitchen,2,129.95,259.9
1011,CUST0126,PROD011,2023-12-16,Smartwatch,Electronics,5,1025.47,5127.35
1012,CUST0113,PROD044,2023-08-25,Textbook,Books,5,79.27,396.35
1013,CUST0206,PROD018,2023-06-16,Smartphone,Electronics,3,1268.34,3805.02
1014,CUST0109,PROD042,2023-02-03,Sneakers,Clothing,3,177.75,533.25
1015,CUST0127,PROD048,2023-09-13,Comic Book,Books,2,20.0,40.0
1016,CUST0299,PROD026,2023-10-15,Running Shoes,Sports,4,190.55,762.2
1017,CUST0025,PROD008,2023-07-05,Jeans,Clothing,1,111.71,111.71
1018,CUST0196,PROD039,2023-03-20,Dress,Clothing,4,127.35,509.4
1019,CUST0059,PROD044,2023-08-28,Running Shoes,Sports,1,243.2,243.2
1020,CUST0081,PROD030,2023-10-02,Vacuum,Home & Kitchen,4,60.12,240.48
1021,CUST0055,PROD041,2023-01-02,Lamp,Home & Kitchen,5,235.73,1178.65
1022,CUST0083,PROD035,2023-06-02,Water Bottle,Sports,3,61.74,185.22
1023,CUST0058,PROD024,2023-09-29,Smartwatch,Electronics,1,621.4,621.4
1024,CUST0041,PROD006,2023-06-07,T-Shirt,Clothing,5,63.36,316.8
1025,CUST0244,PROD036,2023-09-06,Smartwatch,Electronics,2,1195.58,2391.16
1026,CUST0109,PROD035,2023-03-26,Lamp,Home & Kitchen,4,265.56,1062.24
1027,CUST0225,PROD034,2023-12-20,Jacket,Clothing,3,91.82,275.46
1028,CUST0011,PROD038,2023-08-20,Smartphone,Electronics,3,492.11,1476.33
1029,CUST0031,PROD015,2023-10-11,Sneakers,Clothing,1,59.64,59.64
1030,CUST0143,PROD043,2023-02-04,Headphones,Electronics,2,292.11,584.22
1031,CUST0296,PROD031,2023-09-06,Sneakers,Clothing,5,43.82,219.1
1032,CUST0221,PROD023,2023-05-05,Comic Book,Books,1,23.33,23.33
1033,CUST0051,PROD004,2023-08-05,Comic Book,Books,1,70.47,70.47
1034,CUST0275,PROD029,2023-07-26,Blender,Home & Kitchen,2,97.14,194.28
1035,CUST0039,PROD029,2023-03-13,Self-Help Book,Books,2,29.5,59.0
1036,CUST0008,PROD006,2023-10-09,Laptop,Electronics,5,1047.79,5238.95
1037,CUST0206,PROD004,2023-05-02,Dress,Clothing,2,107.42,214.84
1038,CUST0233,PROD019,2023-03-26,Fiction Novel,Books,3,78.97,236.91
1039,CUST0112,PROD004,2023-08-05,Cycling Helmet,Sports,3,51.38,154.14
1040,CUST0026,PROD038,2023-10-24,Yoga Mat,Sports,1,190.77,190.77
1041,CUST0042,PROD012,2023-09-02,Water Bottle,Sports,5,52.0,260.0
1042,CUST0207,PROD008,2023-02-05,Yoga Mat,Sports,2,173.67,347.34
1043,CUST0042,PROD027,2023-10-19,Sneakers,Clothing,5,127.01,635.05
1044,CUST0105,PROD043,2023-12-03,Water Bottle,Sports,3,137.85,413.55
1045,CUST0235,PROD021,2023-06-10,Jacket,Clothing,3,91.24,273.72
1046,CUST0052,PROD005,2023-02-07,Tablet,Electronics,5,1007.51,5037.55
1047,CUST0036,PROD016,2023-10-03,Sneakers,Clothing,3,67.74,203.22
1048,CUST0155,PROD040,2023-07-09,Coffee Maker,Home & Kitchen,5,148.31,741.55
1049,CUST0154,PROD043,2023-12-01,Yoga Mat,Sports,5,171.95,859.75
1050,CUST0284,PROD010,2023-02-23,Jacket,Clothing,1,40.78,40.78
1051,CUST0105,PROD044,2023-05-20,Lamp,Home & Kitchen,3,86.87,260.61
1052,CUST0048,PROD041,2023-11-21,Lamp,Home & Kitchen,1,161.9,161.9
1053,CUST0135,PROD011,2023-08-05,Blender,Home & Kitchen,2,30.96,61.92
1054,CUST0039,PROD045,2023-08-15,Cycling Helmet,Sports,1,146.81,146.81
1055,CUST0283,PROD010,2023-03-18,Yoga Mat,Sports,5,211.13,1055.65
1056,CUST0184,PROD014,2023-08-09,T-Shirt,Clothing,1,75.49,75.49
1057,CUST0209,PROD040,2023-12-16,T-Shirt,Clothing,5,83.66,418.3
1058,CUST0212,PROD002,2023-03-21,Jeans,Clothing,2,195.72,391.44
1059,CUST0137,PROD011,2023-04-02,Cookware Set,Home & Kitchen,2,246.6,493.2
1060,CUST0114,PROD013,2023-12-26,Tablet,Electronics,4,1333.82,5335.28
1061,CUST0115,PROD002,2023-08-24,Vacuum,Home & Kitchen,2,251.54,503.08
1062,CUST0143,PROD023,2023-12-04,Dress,Clothing,1,79.09,79.09
1063,CUST0170,PROD002,2023-11-25,Cycling Helmet,Sports,5,174.69,873.45
1064,CUST0020,PROD007,2023-03-01,Coffee Maker,Home & Kitchen,3,186.76,560.28
1065,CUST0224,PROD039,2023-11-02,Textbook,Books,3,61.0,183.0
1066,CUST0131,PROD003,2023-09-19,Tablet,Electronics,2,1369.36,2738.72
1067,CUST0101,PROD024,2023-12-29,Fiction Novel,Books,5,46.39,231.95
1068,CUST0154,PROD033,2023-08-09,Headphones,Electronics,1,1010.1,1010.1
1069,CUST0284,PROD009,2023-06-08,Textbook,Books,3,38.17,114.51
1070,CUST0292,PROD020,2023-04-09,Comic Book,Books,2,57.41,114.82
1071,CUST0221,PROD038,2023-07-27,Yoga Mat,Sports,2,86.41,172.82
1072,CUST0262,PROD031,2023-11-07,Cookware Set,Home & Kitchen,2,149.28,298.56
1073,CUST0172,PROD006,2023-03-28,Headphones,Electronics,5,870.09,4350.45
1074,CUST0013,PROD003,2023-05-01,Coffee Maker,Home & Kitchen,2,247.77,495.54
1075,CUST0234,PROD027,2023-05-06,Biography,Books,1,69.48,69.48
1076,CUST0254,PROD026,2023-11-19,Dumbbells,Sports,4,183.81,735.24
1077,CUST0218,PROD015,2023-05-05,T-Shirt,Clothing,1,180.68,180.68
1078,CUST0063,PROD030,2023-04-01,Cycling Helmet,Sports,2,26.8,53.6
1079,CUST0163,PROD049,2023-03-10,Biography,Books,5,79.15,395.75
1080,CUST0229,PROD011,2023-08-15,Water Bottle,Sports,5,115.28,576.4
1081,CUST0267,PROD032,2023-09-01,Textbook,Books,3,62.62,187.86
1082,CUST0121,PROD018,2023-11-17,Jacket,Clothing,3,99.18,297.54
1083,CUST0119,PROD025,2023-06-21,Lamp,Home & Kitchen,2,51.76,103.52
1084,CUST0170,PROD035,2023-12-22,Jeans,Clothing,4,31.56,126.24
1085,CUST0200,PROD050,2023-08-27,Fiction Novel,Books,4,24.48,97.92
1086,CUST0181,PROD020,2023-10-27,Smartwatch,Electronics,1,694.5,694.5
1087,CUST0113,PROD032,2023-07-19,Biography,Books,5,62.33,311.65
1088,CUST0173,PROD043,2023-04-23,Cookware Set,Home & Kitchen,4,161.12,644.48
1089,CUST0274,PROD002,2023-12-14,Self-Help Book,Books,2,68.84,137.68
1090,CUST0220,PROD009,2023-07-21,Water Bottle,Sports,1,170.8,170.8
1091,CUST0109,PROD030,2023-08-25,T-Shirt,Clothing,3,66.83,200.49
1092,CUST0130,PROD006,2023-06-17,Cookware Set,Home & Kitchen,4,105.13,420.52
1093,CUST0115,PROD042,2023-08-29,Smartwatch,Electronics,3,267.71,803.13
1094,CUST0011,PROD040,2023-02-05,Laptop,Electronics,2,1434.5,2869.0
1095,CUST0289,PROD014,2023-03-20,Jeans,Clothing,1,105.24,105.24
1096,CUST0059,PROD050,2023-08-27,Vacuum,Home & Kitchen,5,75.3,376.5
1097,CUST0295,PROD044,2023-03-25,Blender,Home & Kitchen,3,186.24,558.72
1098,CUST0053,PROD045,2023-07-12,Self-Help Book,Books,2,15.32,30.64
1099,CUST0022,PROD023,2023-06-04,Yoga Mat,Sports,5,202.11,1010.55
1100,CUST0007,PROD027,2023-09-30,Textbook,Books,3,14.83,44.49
1101,CUST0079,PROD028,2023-09-08,Tablet,Electronics,4,1449.02,5796.08
1102,CUST0248,PROD030,2023-04-01,Running Shoes,Sports,5,159.74,798.7
